,Django Package Name,edX Owned?,Python 3.9,Django 3.0,Django 3.1,Django 3.2,Last Checked,Ticket URL,Notes,openedxstats
1,code-annotations,yes,-,1.0.0,1.0.0,1.2.0,"Jul 27, 2021",BOM-2707,,
22,django-pyfs,yes,-,3,3,3.1.0,"Jun 13, 2021",BOM-2623,,
26,django-splash,yes,-,1.1.0,1.1.0,1.1.0,"Jul 9, 2021",BOM-2632,,
33,edx-auth-backends,yes,-,3.1.1,3.4.0,3.4.0,"Jul 9, 2021",BOM-2621,,
34,edx-bulk-grades,yes,-,0.9.0,0.9.0,0.9.0,"Jul 29, 2021",BOM-2679,,
35,edx-celeryutils,yes,-,1.0.0,1.1.0,1.1.0,"Jul 12, 2021",BOM-2622,,
36,edx-completion,yes,-,4.1.0,4.1.0,4.1.0,"Jul 28, 2021",BOM-2680,,
37,edx-django-sites-extensions,yes,-,3.1.0,3.1.0,3.1.0,"Jul 28, 2021",BOM-2681,,
38,edx-drf-extensions,yes,-,6.3.0,6.6.0,6.6.0,"Jul 13, 2021",BOM-2630,,
39,edx-enterprise,yes,-,-,-,-,"Feb 1, 2021",,,
40,edx-opaque-keys,yes,-,2.2.0,2.2.0,-,"Feb 1, 2021",,,
41,edx-organizations,yes,-,6.7.0,6.7.0,6.10.0,"Jul 29, 2021",BOM-2668,,
42,edx-proctoring,yes,-,3.20.0,3.20.0,3.20.0,"Jul 28, 2021",BOM-2683,,
43,edx-rbac,yes,-,1.5.0,1.5.0,1.5.0,"Jul 9, 2021",BOM-2619,,
44,edx-when,yes,-,2.0.0,2.0.0,2.1.0,"Jul 27, 2021",BOM-2685,,
45,edxval,yes,-,2.0.0,2.1.0,2.1.0,"Aug 4, 2021",BOM-2696,,
46,event-tracking,yes,-,1.0.4,1.0.4,1.1.0,"Jul 27, 2021",BOM-2709,,
53,super-csv,yes,-,2.1.0,2.1.0,2.1.0,"Jul 27, 2021",BOM-2708,,
58,django-user-tasks,yes,N/A,2.1.0,2.1.0,2.1.0,"Jul 9, 2021",BOM-2618,,
60,xblock-sdk,yes,-,master,-,-,"Jun 21, 2021",,,
62,edx-event-routing-backends,yes,-,4.1.0,4.1.0,4.1.0,"Jul 13, 2021",BOM-2631,,
66,web-fragments,yes,-,1.0.0,1.0.0,1.1.0,"Jul 13, 2021",BOM-2633,,
73,lti-consumer-xblock,yes,-,-,-,-,"Jun 21, 2021",,tox file not available.,
76,edx-django-release-util,yes,-,1.0.0,1.0.0,1.1.0,"Jul 29, 2021",BOM-2676,,
78,edx-submissions,yes,-,3.1.4,-,-,"Jun 21, 2021",,,
79,edx-ora2,yes,,-,-,-,"Jun 21, 2021",,Test failures on 3.0 and 3.1,
98,help-tokens,yes,-,2.1.0,2.1.0,2.1.0,"Jul 12, 2021",BOM-2624,,
100,edx-toggles,yes,-,4.2.0,4.2.0,4.2.0,"Jul 12, 2021",BOM-2626,,
106,edx-search,yes,-,3.1.0,3.1.0,3.1.0,"Jul 28, 2021",BOM-2694,,
107,edx-enterprise-data,yes,-,master,-,-,"Jun 21, 2021",,3.1 Django failing tests.,
110,edx-django-utils,yes,-,master,4.2.0,4.2.0,"Jul 14, 2021",BOM-2634,,
114,django-lang-pref-middleware,yes,-,1.0.0,1.0.0,1.1.0,"Jul 9, 2021",BOM-2620,,
118,edx-i18n-tools,yes,-,0.7.0,0.7.0,0.7.0,"Jul 27, 2021",BOM-2686,,
121,staff-graded-xblock,yes,-,-,-,-,"Jun 21, 2021",,,
123,enmerkar-underscore,yes,-,0.6.0,2.1.0,2.1.0,"Jul 12, 2021",BOM-2628,,
134,edx-milestones,yes,-,0.3.2,0.3.2,0.3.2,"Jul 28, 2021",BOM-2682,,
141,django-config-models,yes,-,2.0.1,2.1.0,2.2.0,"Jul 14, 2021",BOM-2627,,
142,xblock-utils,yes,-,2.2.0,2.2.0,2.2.0,"Aug 4, 2021",BOM-2704,,
144,edx-ace,yes,-,-,-,1.2.0,"Jul 29, 2021",BOM-2678,,
146,edx_credentials_themes,yes,-,-,-,-,"Jun 21, 2021",,,
147,edx-ccx-keys,yes,-,-,-,-,"Jun 21, 2021",,using 2.2.24. tox has no django versions testing.,
148,edx-analytics-data-api-client,yes,-,-,-,-,"Jun 21, 2021",,no django usage find.,
150,edx-rest-api-client,yes,-,5.4.0,5.4.0,5.4.0,"Jul 13, 2021",BOM-2629,,
153,edx-tincan-py35,yes,-,-,-,-,"Jun 21, 2021",,,
156,edx-ecommerce-worker,yes,-,-,-,-,"Jun 21, 2021",,,
157,edx-user-state-client,yes,-,-,-,-,"Jun 21, 2021",,,
159,crowdsourcehinter-xblock,yes,-,-,-,-,"Jun 21, 2021",,,
160,recommender-xblock,yes,-,-,-,-,"Jun 21, 2021",,It has no django usage.,
161,xblock-drag-and-drop-v2,yes,-,-,-,-,"Jun 21, 2021",,edx-solutions owned,
163,xblock-google-drive,yes,,0.2.0,,-,"Jun 21, 2021",,edx-solutions owned,
174,edx-api-doc-tools,yes,-,-,-,-,"Jun 13, 2021",,,
175,xss-utils,yes,-,0.3.0,0.3.0,0.3.0,"Jul 9, 2021",BOM-2625,,
176,xblock,yes,-,1.5.0,1.5.0,1.5.0,"Jul 27, 2021",BOM-2703,,
2,newrelic,,1,0.7.5,0.7.7,1,"Apr 26, 2021",,,
3,django-cookies-samesite,,-,0.8.0,0.8.0,-,"Apr 5, 2021",https://github.com/edx/upgrades/issues/3,,
4,django-cors-headers,,3.6.0,3.1.1,3.4.0,3.7.0,"Jun 13, 2021",,,
5,django-countries,,7,5.5,7,7.1,"May 10, 2021",,,
6,django-crispy-forms,,1.10.0,1.8.0,1.10.0,1.12.0,"Jun 12, 2021",,Django 3.0 support dropped concurrently with adding 3.2 support,
7,django-debug-toolbar,,3.9,2.2,3,3.2.0,"Jul 28, 2021",,,
8,django-extensions,,3.1.1,2.2.2,3.0.4,3.1.3,"Jul 8, 2021",,,
9,django-extra-views,,-,0.13.0,0.14.0,0.14.0,"Jun 13, 2021",https://github.com/edx/upgrades/issues/4,,
10,django-fernet-fields,,-,-,-,-,"Feb 16, 2021",https://github.com/edx/upgrades/issues/1,Package is abandoned: https://github.com/orcasgit/django-fernet-fields/issues/28,
11,django-guardian,,2.4.0,2.2.0,2.4.0,2.4.0,"May 23, 2021",,,
12,django-libsass,,0.9,0.8,0.9,0.9,"Jul 8, 2021",,,
13,django-method-override,,-,-,-,-,"Jun 13, 2021",https://github.com/edx/upgrades/issues/5,Rarely updated,
14,django-modelcluster,,-,5.1,5.1,-,"Jun 13, 2021",https://github.com/edx/upgrades/issues/6,,
15,django-mptt,,0.13.0,0.11.0,0.12.0,0.13.0,"Aug 20, 2021",https://github.com/edx/upgrades/issues/7,,
16,django-mysql,,3.12.0,3.3.0,3.7.0,3.11.0,"Jun 10, 2021",,,
17,django-oauth-toolkit,,1.4.0,1.3.0,1.3.3,-,"Jun 13, 2021",https://github.com/edx/upgrades/issues/8,,
18,django-object-actions,,-,3.0.0,3.0.0,3.0.2,"Apr 9, 2021",,,
19,django-oscar,,3.1b0,2.1,3,3.1b0,"Jan 27, 2021",,"2.1 dropped support for MySQL, Django 3.0 support dropped concurrently with adding 3.2 support",
20,django-phonenumber-field,,5.1.0,4.0.0,5.0.0,5.1.0,"Apr 15, 2021",,,
21,django-pipeline,,2.0.6,1.7.0,2.0.5,-,"Jan 20, 2021",https://github.com/edx/upgrades/issues/9,,
23,django-sekizai,,-,1.1.0,2.0.0,-,"Feb 16, 2021",https://github.com/edx/upgrades/issues/10,,
24,django-ses,,master,0.8.14,2.1.1,2.1.1,"Jul 12, 2021",,,
25,django-simple-history,,3.0.0,2.8.0,2.12.0,3.0.0,"Apr 26, 2021",,Django 3.0 support removed in same release that added 3.2 supportâ¦sigh,
27,django-tables2,,2.4.0,2.3.0,2.3.4,2.4.0,"May 16, 2021",,Django 3.0 support removed in same release that added 3.2 supportâ¦sigh,
28,django-treebeard,,4.5,4.4,4.4,-,"Feb 17, 2021",https://github.com/edx/upgrades/issues/11,,
29,django-waffle,,2.2.0,0.19.0,2.0.0,2.2.0,"May 22, 2021",,,
30,djangorestframework,,3.12.3,3.11.0,3.12.0,master,"Jun 30, 2021",,,3.12.4
31,djangorestframework-csv,,-,-,-,-,"Jun 13, 2021",https://github.com/edx/upgrades/issues/12,,
32,drf-jwt,,-,1.14.0,-,-,"May 18, 2021",https://github.com/edx/upgrades/issues/13,,
